Scene Log Started: 2026-02-16 11:56:22.611263
--------------------------------------------------
[1] 11:56:27.056 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[2] 11:56:27.231 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[3] 11:56:27.414 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[4] 11:56:27.679 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[5] 11:56:28.066 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[6] 11:56:28.316 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[7] 11:56:28.560 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[8] 11:56:28.810 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[9] 11:56:28.973 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[10] 11:56:29.144 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[11] 11:56:29.406 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[12] 11:56:29.595 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[13] 11:56:29.796 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[14] 11:56:29.954 | ID 1: Pose=Tracked | ID 2: Pose=Tracked
[15] 11:56:31.050 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[16] 11:56:31.301 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[17] 11:56:31.463 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[18] 11:56:31.662 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[19] 11:56:31.906 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[20] 11:56:32.238 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[21] 11:56:32.472 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[22] 11:56:32.638 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[23] 11:56:32.823 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[24] 11:56:32.994 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[25] 11:56:33.213 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[26] 11:56:33.387 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[27] 11:56:33.557 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[28] 11:56:33.804 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[29] 11:56:33.978 | ID 1: FER=sad Age=32 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[30] 11:56:34.746 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[31] 11:56:34.902 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[32] 11:56:35.060 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[33] 11:56:35.310 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[34] 11:56:35.492 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[35] 11:56:35.633 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[36] 11:56:35.945 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[37] 11:56:36.102 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[38] 11:56:36.250 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[39] 11:56:36.416 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[40] 11:56:36.587 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[41] 11:56:36.752 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[42] 11:56:36.930 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[43] 11:56:37.087 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[44] 11:56:37.240 | ID 1: FER=sad Age=34 Gen=female Pose=Tracked | ID 2: FER=neutral Age=33 Gen=female Pose=Tracked
[45] 11:56:38.002 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[46] 11:56:38.212 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[47] 11:56:38.372 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[48] 11:56:38.527 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[49] 11:56:38.730 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[50] 11:56:38.901 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[51] 11:56:39.052 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[52] 11:56:39.194 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
[53] 11:56:39.490 | ID 1: FER=happy Age=35 Gen=female Pose=Tracked | ID 2: FER=neutral Age=34 Gen=female Pose=Tracked
